-aĵo                                                                                      chose (concrète), difficulté, gravure
pego                                                                                      pic (oiseau), pivert
pejorativa                                                                                péjoratif
pejzaĝo                                                                                   paysage, site (géol.)
peka                                                                                      impur
pekanto                                                                                   pécheur
peki                                                                                      commettre une faute, faillir, fauter, pécher
pekigi                                                                                    séduire
pekina                                                                                    pékinois
pekinano                                                                                  Pékinois
peklado                                                                                   salage (conservation)
peklakvo                                                                                  saumure
peklaĵo                                                                                   salaison
pekli                                                                                     saler, saler (pour conserver)
peklita                                                                                   salé, salé (pour conservation)
pekmakuli                                                                                 souiller
peko                                                                                      faute, manquement, péché
pekpura                                                                                   pur
pekpurigi                                                                                 purifier
pelargonio                                                                                géranium, pélargonium
pelerino                                                                                  cape, pèlerine
peli                                                                                      amener à, chasser, faire avancer, jeter dehors, pourchasser, précipiter
pelikano                                                                                  pélican
peloponesa                                                                                péloponnésien
peloponesiano                                                                             Péloponnésien
peltaĵo                                                                                   pelisse
pelto                                                                                     fourrure
pelveto                                                                                   écuelle
pelvo                                                                                     bassin, bassin (anatomie), bassine, cuvette
pendanta                                                                                  pendant (adj.)
pendaĵo                                                                                   pendant (subst.)
pendeco                                                                                   suspension
pendhorloĝo                                                                               pendule
pendi                                                                                     pendre, retomber(pendre), suspendu(être)
pendigi                                                                                   pendre, suspendre (pendre)
pendingo                                                                                  potence
pendjuvelo                                                                                pendentif
pendlipo                                                                                  babine
pendlumila                                                                                patibulaire
pendokolumo                                                                               rabat
pendolampo                                                                                suspension (lampe)
pendolhorloĝo                                                                             pendule
pendoli                                                                                   osciller
pendolo                                                                                   balancier, pendule, pendule (masculin)
pendoskulptaĵo                                                                            pendentif
pendseruro                                                                                cadenas
pendumi                                                                                   pendre (exécution)
pendumilo                                                                                 potence
pendumindula                                                                              patibulaire
pendumo                                                                                   potence
pene                                                                                      péniblement
penegi                                                                                    évertuer (s'~)
penetra                                                                                   pénétrant
penetrema                                                                                 pénétrant, perçant
penetri                                                                                   entrer, imprégner (sens figuré), pénétrer
penetrigi                                                                                 engager(mettre dans), imprégner, introduire
penetriĝado                                                                               imprégnation, infiltration
peni                                                                                      efforcer (s'~), peiner, tacher, traîner
peniga                                                                                    pénible
peniko                                                                                    pinceau
peniktuŝo                                                                                 touche (peint.)
peniskapo                                                                                 gland (anatomie)
peniso                                                                                    pénis, verge
peno                                                                                      effort, mal, peine, peine (effort)
penplena                                                                                  tendu
pensado                                                                                   méditation
penseo                                                                                    pensée (bot.)
pensi                                                                                     penser
pensigi                                                                                   inspirer (faire naître)
pensiiĝo                                                                                  retraite
pensio                                                                                    pension (argent), retraite (pension)
pensionano                                                                                pensionnaire, pensionnaire (hôtel)
pensiono                                                                                  pension, pensionnat
pensionulo                                                                                pensionnaire, pensionnaire (élève)
pensiulo                                                                                  retraité
pensmaniero                                                                               mentalité
penso                                                                                     pensée
pensopovo                                                                                 réflexion (état d'esprit)
pente                                                                                     par repentir
penti                                                                                     repentir (se ~)
pento                                                                                     pénitence, repentir
pentofaro                                                                                 pénitence
pentooferi                                                                                expier
pentopagi                                                                                 expier
pentopuno                                                                                 pénitence
pentrado                                                                                  peinture (act.art.)
pentraĵo                                                                                  peinture(toile), tableau(peinture), toile(peinture)
pentri                                                                                    dépeindre, peindre (art.), représenter (arts)
pentrinda                                                                                 pittoresque
pentristo                                                                                 artiste peintre, peintre (artiste)
pentrita                                                                                  peint
pentrosalono                                                                              salon de peinture
pentrotolo                                                                                toile (support de peinture)
peonio                                                                                    pivoine
peono                                                                                     pion (échecs)
pepado                                                                                    gazouillement
pepi                                                                                      gazouiller, pépier, piailler
pepo                                                                                      gazouillement
per                                                                                       avec(au moyen de), en, moyen(au~de), par
pera                                                                                      intermédiaire
perado                                                                                    entremise, intermédiaire(médiation), ministère(office), truchement, voie(figuré)
peranto                                                                                   intermédiaire (personne), médiateur, négociateur
perceptado                                                                                représentation (psychologie)
perceptebla                                                                               perceptible
percepti                                                                                  discerner, percevoir, saisir (comprendre)
percepto                                                                                  perception, représentation (psychologie)
perdi                                                                                     égarer, perdre
perdita                                                                                   perdu
perdiĝi                                                                                   égarer (s'~), perdre (se ~), sombrer
perdo                                                                                     perte, privation
perdokompenso                                                                             dommages et intérêts
perdriko                                                                                  perdrix
pere                                                                                      indirect (par un interméd.)
perei                                                                                     disparaître, périr
pereiga                                                                                   fatal, funeste, mortel, néfaste, pernicieux
pereigi                                                                                   abîmer, détruire, faire périr
pereiva                                                                                   périssable
pereo                                                                                     disparition, perte
perfekta                                                                                  accompli, achevé, parfait (adj.)
perfekte                                                                                  parfait (adv.), parfaitement
perfekteco                                                                                excellence, perfection
perfektigi                                                                                achever, perfectionner
perfektulo                                                                                perle
perfida                                                                                   perfide, scélérat, ténébreux, traître
perfidado                                                                                 infidélité
perfidi                                                                                   trahir, tromper (être infidèle), vendre (figuré)
perfidulo                                                                                 traître
perfori                                                                                   perforer (méd.)
performanco                                                                               performance
perforta                                                                                  forcé, violent
perfortema                                                                                brutal
perforti                                                                                  violer (sexuellement)
perforto                                                                                  violence
pergameno                                                                                 parchemin
peri                                                                                      procurer, procurer (faire obtenir)
periferaĵo                                                                                périphérique
periferia                                                                                 périphérique
perigi                                                                                    interposer
perimetro                                                                                 périmètre
perioda                                                                                   périodique, récurrent
periodaĵo                                                                                 périodique, périodique (journal)
periodo                                                                                   période
peripetii                                                                                 rebondir (action)
peripetio                                                                                 péripétie
periplo                                                                                   périple
periskopo                                                                                 périscope
perko                                                                                     perche (poisson)
perkolatilo                                                                               percolateur
perkutado                                                                                 percussion
perkuti                                                                                   percuter
perkuto                                                                                   percussion
perkviziti                                                                                perquisitionner
perlabori                                                                                 gagner
perlamota                                                                                 nacré
perlamoto                                                                                 nacre
perli                                                                                     perler
perlo                                                                                     perle
perludi                                                                                   gagner
permeebla                                                                                 perméable
permesebla                                                                                permis
permesi                                                                                   autoriser, permettre, souffrir(accepter), tolérer
permesita                                                                                 permis
permeso                                                                                   autorisation, licence(permission), permis(subst.), permission
permuti                                                                                   permuter
pero                                                                                      truchement
perono                                                                                    perron
perpendikla                                                                               perpendiculaire
perpleksa                                                                                 perplexe
persa                                                                                     persan
persekuti                                                                                 persécuter
persieno                                                                                  persienne
persikarbo                                                                                pêcher (botan.)
persiko                                                                                   pêche (fruit)
persikujo                                                                                 pêcher (botan.)
persino                                                                                   Persane
persisteco                                                                                acharnement
persistega                                                                                acharné
persistejo                                                                                réduit (substantif)
persistema                                                                                tenace
persistemo                                                                                endurance
persisti                                                                                  persévérer, persévérer, persister
persitigi                                                                                 maintenir (affirmer)
perso                                                                                     Persan
persona                                                                                   personnel (pronom), personnel (propre)
personeco                                                                                 personnalité
personfavora                                                                              partial
personigi                                                                                 personnifier
persono                                                                                   individu, personnage, personne
perspektivaĵo                                                                             raccourci
perspektivo                                                                               chance, perspective
persvadi                                                                                  inspirer (faire naître), persuader
perturbi                                                                                  déranger, dérégler, perturber, troubler
perturbita                                                                                déréglé
perturbo                                                                                  dérèglement
peruko                                                                                    perruque
perversa                                                                                  pervers
perversigi                                                                                pervertir
perĉo                                                                                     perche goujonnière
peseto                                                                                    peseta
pesi                                                                                      peser (transitif)
pesilo                                                                                    balance
pesimismo                                                                                 pessimisme
pesimista                                                                                 pessimiste, pessimiste (adjectif)
pesimisto                                                                                 pessimiste
pestigi                                                                                   empester
pesto                                                                                     peste
petadi                                                                                    postuler, solliciter (requérir)
petalo                                                                                    pétale
petardo                                                                                   pétard
petegi                                                                                    implorer, solliciter (requérir), supplier
peti                                                                                      demander(réclamer qq. chose), postuler, prier
peticio                                                                                   pétition
petletero                                                                                 requête
peto                                                                                      requête
petola                                                                                    malin (espiègle)
petolado                                                                                  ébats
petolagitiĝi                                                                              ébrouer (s'~)
petolaĵo                                                                                  blague (enfantine), niche (farce
petolega                                                                                  endiablé
petolema                                                                                  espiègle, malicieux (turbulent), turbulent
petoli                                                                                    amuser(s'~), batifoler, ébattre (s'~), folâtrer, gambader, rigoler
petoloj                                                                                   ébats
petolulino                                                                                espiègle
petolulo                                                                                  fripon, garnement, polisson
petro                                                                                     rocher (anat.)
petrolo                                                                                   pétrole
petroselo                                                                                 persil
petskribo                                                                                 pétition
petveturado                                                                               auto-stop
petveturi                                                                                 faire de l'auto-stop
petveturo                                                                                 auto-stop
peza                                                                                      lourd
pezaĵo                                                                                    charge
pezeco                                                                                    pesanteur
pezi                                                                                      avoir le poids de, peser (intransitif)
pezigi                                                                                    alourdir
pezilo                                                                                    balance, poids (masse marquée)
pezmaso                                                                                   poids (horloge)
pezo                                                                                      poids (pesanteur)
pezocentro                                                                                gravité (centre de ~)
peĉi                                                                                      poisser
pia                                                                                       pieux
piafekta                                                                                  béat
piano                                                                                     piano
piceo                                                                                     épicéa
pico                                                                                      pizza
pieco                                                                                     dévotion, piété, religion
piedfingro                                                                                doigt du pied, orteil
piedflegisto                                                                              pédicure
piedfrapadi                                                                               trépigner
piedira                                                                                   pédestre
piedirado                                                                                 balade
piediranto                                                                                piéton
piediri                                                                                   pied (aller à)
piedligi                                                                                  entraver
piedo                                                                                     patte, pied
piedpilko                                                                                 ballon, ballon de football, football
piedpremi                                                                                 fouler, piétiner
piedringo                                                                                 étrier
piedsoldato                                                                               fantassin
piedvesto                                                                                 chaussure
pieriso                                                                                   papillon blanc du chou, piéride du chou
pieroto                                                                                   pierrot théâtre)
pietato                                                                                   piété (vénération)
pigmento                                                                                  pigment
pigmeo                                                                                    pygmée, pygmée
pigo                                                                                      pie
pigobleki                                                                                 jacasser
pigra                                                                                     nonchalant, paresseux
pigreco                                                                                   paresse
pika                                                                                      acéré, aigre, aigu, piquant (ortie), piquant(offensant)
pikanta                                                                                   piquant (goût)
pikarda                                                                                   picard
pikardo                                                                                   Picard
pikaĵo                                                                                    épine
pikedo                                                                                    piquet
pikema                                                                                    mordant
piketi                                                                                    picoter
pikfiksilo                                                                                punaise (pour fixer)
pikfosilo                                                                                 pic (outil)
piki                                                                                      piquer, piquer (offenser)
pikildrato                                                                                barbelé, fil de fer barbelé
pikilo                                                                                    dard, piquant (subst.), poinçon
pikita                                                                                    piqué
pikmoki                                                                                   narguer
pikmortigi                                                                                embrocher
pikniko                                                                                   pique-nique
piko                                                                                      pique (carte), piqûre, piqûre (d'insecte)
pikparoli                                                                                 sarcastique
pikpioĉo                                                                                  pic (outil)
pikstangeto                                                                               brochette
piktogramo                                                                                icône
pikvundita                                                                                piqué
pikvundo                                                                                  piqûre
pilgrimi                                                                                  aller en pèlerinage, pérégriner
pilgrimo                                                                                  pèlerinage
piliero                                                                                   pilier (achit.)
pilkego                                                                                   ballon
pilko                                                                                     balle (ballon), pelote
pilkopiro                                                                                 poire (caoutchouc)
pilo                                                                                      batterie, pile (élect.)
pilolo                                                                                    cachet (pharm.), comprimé, pilule, pilule
pilono                                                                                    pylône
piloti                                                                                    piloter
piloto                                                                                    pilote
pilĉardo                                                                                  pilchard, sardine
pimento                                                                                   piment
pinaso                                                                                    pinasse
pinglo                                                                                    épingle
pinglokuseneto                                                                            pelote
pingveno                                                                                  pingouin
pinigrajno                                                                                pignon (bot.)
pinio                                                                                     pignon (bot.)
pinjono                                                                                   pignon (mécan.)
pino                                                                                      pin
pinoligno                                                                                 pin
pinta                                                                                     pointu
pintaĵo                                                                                   sommité
pintigi                                                                                   aiguiser, pointer
pinto                                                                                     bout (extrémité), cime, extrémité, flèche, pointe, sommet
pintomonto                                                                                pic (sommet)
pintoŝraŭbo                                                                               pointeau
pintungo                                                                                  serres
pinĉado                                                                                   pince
pinĉi                                                                                     pincer
pinĉilo                                                                                   pince, pinces
pinĉopreno                                                                                prise de tabac
pioniraro                                                                                 génie (milit.)
pioniri                                                                                   défricher
pioniro                                                                                   pionnier, précurseur, sapeur
pioĉi                                                                                     piocher
pioĉo                                                                                     pioche
pipeto                                                                                    pipette
pipo                                                                                      pipe
pipro                                                                                     poivre
piprujo                                                                                   poivrière
piramido                                                                                  pyramide
pirarbo                                                                                   poirier
pirato                                                                                    pirate
pirito                                                                                    pyrite
piro                                                                                      poire
pirogo                                                                                    pirogue
pirolo                                                                                    bouvreuil
pirueto                                                                                   pirouette
pirujo                                                                                    poirier
pisa                                                                                      pisan
pisano                                                                                    Pisan
pisi                                                                                      faire pipi, pisser, uriner
pistako                                                                                   pistache
pisti                                                                                     broyer, concasser, écrabouiller, écraser(piler), piler, pilonner
pistilo                                                                                   pilon( outil), pistil
pistolo                                                                                   pistolet
pistomiksi                                                                                triturer
pistujo                                                                                   mortier (pharm.)
pistuko                                                                                   couche de bébé
pitiatisma                                                                                hystérique
pitono                                                                                    python
pitoreska                                                                                 pittoresque
pivoti                                                                                    pivoter
pivoto                                                                                    pivot
pizo                                                                                      pois
piĝino                                                                                    pidgin
piĵamjako                                                                                 veste de pyjama
piĵamo                                                                                    pyjama
piĵampantalono                                                                            pantalon de pyjama
piŝto                                                                                     piston
piŝtoringo                                                                                segment
placento                                                                                  placenta
placo                                                                                     esplanade, gré, place (publique), rond-point
plado                                                                                     met, plat (subst.)
plafonlumo                                                                                plafonnier
plafono                                                                                   plafond
plafonrozo                                                                                rosace
plaga                                                                                     mortel
plagi                                                                                     maudire
plagiati                                                                                  piller, plagier
plago                                                                                     calamité, fléau(malheur), plaie(fléau)
plaki                                                                                     plaquer
plako                                                                                     plaque (photo)
planaĵo                                                                                   mesure (disposition)
plando                                                                                    plante du pied
plandulo                                                                                  plantigrade
plandumo                                                                                  semelle
planedo                                                                                   planète
planeo                                                                                    voilure
plani                                                                                     compter (prévoir~), projeter(prévoir), proposer(se~)
planizi                                                                                   planifier
planke                                                                                    terre (par)
planklumoj                                                                                rampe (théâtre)
planko                                                                                    plancher, sol (plancher)
plankotrabo                                                                               solive
planktapiŝo                                                                               moquette
plano                                                                                     dessein, plan, projet
planti                                                                                    planter
plantido                                                                                  pousse, rejeton
planto                                                                                    plante
plantovartejo                                                                             pépinière
plasi                                                                                     investir, placer (financ.)
plastiko                                                                                  plastique  (art)
plasto                                                                                    matière plastique, plastique (matière)
plastro                                                                                   emplâtre
plata                                                                                     aplati, plat (adj.)
plataleo                                                                                  spatule
platano                                                                                   platane
plataĵo                                                                                   plateau (géographie)
plateno                                                                                   platine (métal)
platformo                                                                                 plate-forme
platglobo                                                                                 mappemonde, planisphère
platigi                                                                                   aplatir, mater
platino                                                                                   platine (imprimerie)
platkuko                                                                                  galette
plato                                                                                     plaque, tablette (planchette)
platona                                                                                   platonique
platpano                                                                                  galette
platĉapo                                                                                  béret
platŝipo                                                                                  péniche
plaĉegi                                                                                   ravir (plaire)
plaĉema                                                                                   gentil
